id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-439403,2023-01-17,000001,Vente,3000,2,,RUE FERDINAND FABRE,2182,34090,34172,Montpellier,34,,,34172000BZ0300,,,15,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.877472,43.614973
2023-439406,2023-01-20,000001,Vente,97000,3,,BD LOUIS BLANC,3320,34000,34172,Montpellier,34,,,34172000BZ0299,,,14,,,,,,,,,,1,2,Appartement,28,1,,,,,,3.877658,43.614968
2023-439406,2023-01-20,000001,Vente,97000,3,,BD LOUIS BLANC,3320,34000,34172,Montpellier,34,,,34172000BZ0299,,,14,,,,,,,,,,1,2,Appartement,28,1,,,,,,3.877658,43.614968
2023-439408,2023-01-31,000001,Vente,141000,97,,AV DU XV DE FRANCE,2351,34070,34172,Montpellier,34,,,34172000PC0151,,,149,,20,43.86,,,,,,,2,3,Dépendance,,0,,,,,,3.844713,43.591314
2023-439408,2023-01-31,000001,Vente,141000,97,,AV DU XV DE FRANCE,2351,34070,34172,Montpellier,34,,,34172000PC0151,,,149,,20,43.86,,,,,,,2,2,Appartement,44,2,,,,,,3.844713,43.591314
2023-439412,2023-01-20,000001,Vente,238500,,,RUE MARC RIGAL,8040,34070,34172,Montpellier,34,,,34172000II0037,,,157,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.842863,43.604698
2023-439412,2023-01-20,000001,Vente,238500,127,,RUE MARC RIGAL,8040,34070,34172,Montpellier,34,,,34172000II0037,,,133,53.02,,,,,,,,,1,2,Appartement,43,2,,,,,,3.842863,43.604698
2023-439417,2023-01-31,000001,Vente,350710,9,,RUE DE LA BOURGINE,0800,34070,34172,Montpellier,34,,,34172000DR0105,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,332,3.888994,43.590397
2023-439417,2023-01-31,000001,Vente,350710,9,,RUE DE LA BOURGINE,0800,34070,34172,Montpellier,34,,,34172000DR0105,,,,,,,,,,,,,0,1,Maison,90,5,S,sols,,,332,3.888994,43.590397
2023-439421,2023-01-25,000001,Vente,304796,27,,AV GEORGES CLEMENCEAU,2580,34000,34172,Montpellier,34,,,34172000ET0190,,,16,,6,95.02,9,,,,,,3,2,Appartement,64,2,,,,,,3.872471,43.603348
2023-439421,2023-01-25,000001,Vente,304796,27,,AV GEORGES CLEMENCEAU,2580,34000,34172,Montpellier,34,,,34172000ET0190,,,16,,6,95.02,9,,,,,,3,3,Dépendance,,0,,,,,,3.872471,43.603348
2023-439424,2023-01-31,000001,Vente,8300,17,,RUE DU PALAIS DES GUILHEM,4081,34000,34172,Montpellier,34,,,34172000HR0130,,,34,,,,,,,,,,1,3,Dépendance,,0,,,,,,3.874987,43.611534
